Year (year),Season (season),Scheme name (scheme),State (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Percentage of the number of farmers (farmer_count),Number of applications by lonees (loanee),Number of applications by non-lonees (non_loanee),Area covered by them (area_insured),Sum insured by them (sum_insured),Number of shares hold by farmer (farmer_share),Number of goi shares (goi_share),Number of state shares (state_share),Percentage of males (male),Percentage of females (female),Percentage of transgender (transgender),Percentage of SC farmers (sc),Percentage of ST farmers (st),Percentage of OBC farmers (obc),Percentage of farmers that belong to general caste (gen),Percentage of marginal farmers (marginal),Percentage of small farmers (small),Percentage of farmers that are neither small nor marginal (other),Number of Insurance Units (iu_count),Gross Premium (gross_premium)
"2021","Rabi","PMFBY","Uttar Pradesh","9","Saharanpur","177.0","500.0","823.0","73.0","0.43","311.66","4.67","13.71","13.71","91.96","8.04","0.0","4.69","0.0","36.27","59.04","33.82","39.73","26.45","233.0","32.09"
"2018","Kharif","PMFBY","Uttar Pradesh","9","Kasganj","633.0","12374.0","14719.0","35.0","8.93","3651.45","73.03","71.23","71.23","89.75","10.24","0.01","6.4","0.24","40.09","53.27","39.33","53.66","7.01","386.0","215.49"
"2018","Kharif","PMFBY","Goa","30","North Goa","551.0","6.0","8.0","1.0","0.01","4.88","0.1","0.01","0.01","100.0","0.0","0.0","0.0","0.0","11.11","88.89","22.22","77.78","0.0","6.0","0.12"
"2018","Kharif","WBCIS","Himachal Pradesh","2","Sirmaur","24.0","1583.0","1610.0","35.0","0.25","259.0","12.95","4.44","4.44","94.65","5.35","0.0","16.78","0.85","15.56","66.81","44.13","50.7","5.17","6.0","21.83"
"2021","Kharif","WBCIS","Kerala","32","Thrissur","566.0","519.0","38.0","827.0","0.29","230.42","4.98","25.79","34.62","67.28","32.72","0.0","1.73","0.0","47.28","50.99","12.14","84.28","3.58","38.0","65.39"
"2019","Rabi","WBCIS","Maharashtra","27","Jalgaon","478.0","32476.0","27145.0","16402.0","56.2","73732.11","3686.61","15824.49","15824.49","82.25","17.69","0.06","0.44","1.32","63.97","34.27","10.18","65.3","24.52","86.0","35335.59"
"2019","Rabi","PMFBY","Odisha","21","Subarnapur","nan","900.0","878.0","782.0","0.91","555.55","8.33","1.39","1.39","90.6","9.4","0.0","19.16","5.06","60.3","15.48","21.39","62.35","16.26","64.0","11.11"
"2018","Rabi","PMFBY","Odisha","21","Sambalpur","371.0","8223.0","8694.0","221.0","11.47","8078.33","121.17","0.0","0.0","90.33","9.62","0.05","12.88","15.51","47.83","23.78","12.6","68.37","19.03","38.0","121.17"
"2020","Kharif","WBCIS","Rajasthan","8","Barmer","90.0","444.0","447.0","0.0","0.97","290.43","14.52","14.52","14.52","95.3","4.47","0.23","6.26","1.57","67.56","24.61","1.34","3.8","94.86","40.0","43.56"
"2018","Kharif","PMFBY","Assam","18","Dhemaji","284.0","70.0","70.0","1.0","0.08","47.99","0.96","0.11","0.11","85.92","14.08","0.0","2.82","32.39","52.11","12.68","52.11","19.72","28.17","4.0","1.18"
"2020","Kharif","PMFBY","Uttar Pradesh","9","Ghaziabad","145.0","1194.0","1496.0","17.0","0.59","420.55","8.41","3.78","3.78","92.66","7.34","0.0","1.45","0.0","34.17","64.38","41.24","55.58","3.18","91.0","15.97"
"2021","Kharif","PMFBY","Assam","18","Karbi Anglong","292.0","8983.0","1472.0","7852.0","4.08","2424.45","1.15","21.82","49.76","67.05","32.85","0.1","6.6","28.01","18.11","47.28","4.52","94.81","0.67","4.0","72.73"
"2022","Kharif","PMFBY","Maharashtra","27","Satara","494.0","2689.0","1166.0","3539.0","1.58","483.05","10.38","20.12","20.12","88.46","11.39","0.15","2.68","0.34","15.52","81.46","9.29","82.06","8.65","99.0","50.62"
"2021","Rabi","WBCIS","Uttarakhand","5","Udham Singh Nagar","nan","49.0","1.0","58.0","0.29","5.49","0.27","0.55","0.62","84.75","15.25","0.0","15.25","16.95","10.17","57.63","0.0","98.31","1.69","5.0","1.45"
"2019","Kharif","PMFBY","Uttarakhand","5","Rudraprayag","54.0","2314.0","860.0","1830.0","0.66","289.77","4.37","0.0","0.0","86.39","13.61","0.0","16.84","0.3","1.75","81.11","41.19","55.76","3.05","4.0","4.37"
"2020","Kharif","WBCIS","Karnataka","29","Kalaburgi","nan","154.0","48.0","106.0","0.0","0.0","0.0","0.0","0.0","77.78","22.22","0.0","9.28","4.12","20.62","65.98","23.47","33.67","42.86","546.0","0.0"
"2019","Rabi","PMFBY","Uttarakhand","5","Hardwar","nan","2262.0","2337.0","88.0","0.43","369.2","5.54","7.38","7.38","88.95","11.05","0.0","4.29","0.37","59.88","35.46","9.44","87.63","2.93","50.0","20.3"
"2019","Rabi","PMFBY","Kerala","32","Alappuzha","554.0","4606.0","6664.0","152.0","4.82","3891.86","59.14","52.94","52.94","64.32","35.33","0.35","0.5","0.0","15.85","83.65","36.27","61.4","2.33","54.0","165.02"
"2022","Kharif","PMFBY","Odisha","21","Sonepur","372.0","12180.0","76297.0","16630.0","13.18","8993.94","179.92","584.51","584.51","88.68","11.29","0.03","9.99","5.03","62.92","22.06","17.81","73.22","8.97","114.0","1348.94"
"2022","Rabi","PMFBY","Maharashtra","27","Ratnagiri","492.0","1.0","0.0","1.0","0.0","0.24","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","100.0","0.0","1.0","0.01"
